N,P,K,Temperature,Humidity,Moisture,LDR,Label
18.108346731124055,29.851942291938403,30.266467753686694,20.046107340550982,17.415357547078468,31.654254053445335,2.5903322801546924,Low
35.91779781864749,67.78209442510634,42.19494849335725,30.342997718000543,68.0853452904765,50.65383708956405,56.56831275559162,Medium
90.26109845608428,85.5220417931494,72.9257331012726,39.849554000008794,95.09254969462668,99.80620390851918,63.63958522322379,High
27.74519995441302,32.01529508441583,4.327325434010516,11.866753208454012,30.59781208231227,32.94858668891793,0.11285368878130031,Low
35.48586491803581,69.77684069646295,37.1038004202592,31.962146584313267,67.94165654470996,51.47921408957049,52.8947977791982,Medium
92.63899039377317,76.33642873803582,93.15005972823363,42.264546024345464,98.16301315502851,90.09691108807037,77.25826887503416,High
23.349279553471458,18.537311922364466,28.859055658904946,15.230254884177207,3.6919649519709052,2.281091239260408,7.39621583647187,Low
38.38545527283731,50.18406598322575,49.056603978254884,33.25252105374136,67.0397423645876,59.96633304464829,34.48920535693472,Medium
84.57495409714235,82.00163667294231,70.272507508581,43.6061172984675,96.98374392760763,83.6179026868432,75.40775299107167,High
5.974719789097984,2.9056734846598724,0.6696738844223954,11.100225162383731,18.331395890728388,34.48430635068132,13.479522494137813,Low
51.65306530304925,59.77934583160072,45.60314314491334,34.4143926662349,67.12506593641922,66.54851600885897,58.559682522832105,Medium
71.53786294389303,99.23512307341124,81.40019281532503,35.422800456502586,91.16380612290415,70.746863290261,94.10506564240673,High
17.67362372987922,16.591627319195236,9.980888820466948,26.34674339566824,11.419941549926161,49.91819232670501,24.590706078547655,Low
39.310726377028026,57.17954477695726,68.58590453371534,31.372784213671487,68.23626113751271,60.69095686599652,55.6700821683888,Medium
89.39446137851807,79.95349150599986,81.55364763682827,36.68537569474176,81.14258923652523,96.88249212910759,97.42123031380325,High
8.952915918916935,34.32912761626055,17.284950774887513,22.966906430579357,12.32950695796903,46.76102979103568,7.347843310137385,Low
42.50376684421801,35.144379485244826,50.1351068003656,31.123591507769657,42.42115412654886,52.48252542856116,56.965241674910374,Medium
92.47771805694782,87.605552227016,81.973466286204,36.431991292402394,77.45935703120873,94.57781787651578,77.78658322274852,High
13.053433764573642,19.507617692392298,26.432397878500538,6.261842385178506,10.438513459858584,40.980938835079485,18.242885947813118,Low
